2494,623
2734,630
2520,598
2345,706
2578,606
2706,639
2406,579
2716,661
2442,667
2518,592
2689,700
2610,689
2531,610
2714,642
2784,646
2405,622
2621,617
2858,591
2605,744
2695,722
2459,672
2746,555
2814,591
2400,675
2627,718
2779,733
2909,663
2628,686
2581,699
2400,585
2398,611
2611,645
2193,626
2523,656
2584,579
2440,610
2436,679
2586,622
2478,632
2591,712
2394,644
2884,668
2530,602
2209,578
2308,682
2524,628
2563,652
2565,623
2553,566
2417,600
2493,741
2294,635
2635,689
2518,694
2584,697
2755,582
2544,627
2388,813
2821,550
2579,536
2524,735
2429,696
2350,842
2503,611
2600,641
2693,635
2348,589
2694,562
2680,704
2484,655
2620,692
2287,750
2661,629
2469,655
2502,613
2545,535
2852,616
2710,636
2568,723
2588,595
2904,543
2534,718
2539,644
2709,608
2667,619
2484,621
2690,571
2661,715
2331,696
2674,574
2517,552
2517,696
2414,625
2725,654
2517,682
2450,723
2373,607
2543,616
2889,588
2843,689
----
2568,644
155.409137,58.378078
